iter	Passed	Remaining
0	1	152
1	3	153
2	4	148
3	5	140
4	7	140
5	8	138
6	10	138
7	11	135
8	13	133
9	14	131
10	16	130
11	17	129
12	19	127
13	20	125
14	21	123
15	23	121
16	24	121
17	26	120
18	27	118
19	29	117
20	30	116
21	32	114
22	33	112
23	35	111
24	36	109
25	37	107
26	39	106
27	41	105
28	42	104
29	44	103
30	45	101
31	46	99
32	48	98
33	49	96
34	51	95
35	52	93
36	54	92
37	56	91
38	57	89
39	58	88
40	60	86
41	60	84
42	62	82
43	63	81
44	65	79
45	66	78
46	68	76
47	69	75
48	71	74
49	72	72
50	74	71
51	75	69
52	76	68
53	78	66
54	79	64
55	80	63
56	82	61
57	83	60
58	85	59
59	86	57
60	88	56
61	89	55
62	91	53
63	92	52
64	93	50
65	95	49
66	96	47
67	98	46
68	99	44
69	101	43
70	102	41
71	104	40
72	105	39
73	107	37
74	109	36
75	110	34
76	112	33
77	113	32
78	114	30
79	116	29
80	117	27
81	119	26
82	120	24
83	122	23
84	123	21
85	125	20
86	126	18
87	128	17
88	130	16
89	131	14
90	133	13
91	134	11
92	135	10
93	137	8
94	138	7
95	140	5
96	141	4
97	143	2
98	145	1
99	146	0
